Primary Diagnosis Code,Primary Diagnosis Code Description,all_attendances,first_appointment,first_tele,subsequent_appointment,subsequent_tele,unknown_attendance_type,total_tele,total_in_person,tele_adoption_rate,followup_ratio,unknown_rate,priority_score
A378,"Whooping cough, unspecified",46.0,30.0,3.0,12.0,1.0,0,4.0,42.0,0.08695652173913043,0.4,0.0,0.0
A379,Scarlet fever,23.0,20.0,0.0,2.0,1.0,0,1.0,22.0,0.043478260869565216,0.1,0.0,0.0
A38X,Meningococcal meningitis,6.0,2.0,0.0,3.0,1.0,0,1.0,5.0,0.16666666666666666,2.0,0.0,0.0
A390,Waterhouse-Friderichsen syndrome,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A391,Acute meningococcaemia,3.0,0.0,0.0,3.0,0.0,0,0.0,3.0,0.0,0.0,0.0,0.0
A392,"Meningococcaemia, unspecified",15.0,2.0,1.0,9.0,3.0,0,4.0,11.0,0.26666666666666666,4.0,0.0,0.0
A394,Other meningococcal infections,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A398,"Meningococcal infection, unspecified",4.0,2.0,1.0,1.0,0.0,0,1.0,3.0,0.25,0.3,0.0,0.0
A399,"Sepsis due to streptococcus, group A",6.0,1.0,1.0,3.0,1.0,0,2.0,4.0,0.3333333333333333,2.0,0.0,0.0
A400,"Sepsis due to streptococcus, group B",1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A401,Sepsis due to Streptococcus pneumoniae,8.0,2.0,0.0,2.0,4.0,0,4.0,4.0,0.5,3.0,0.0,0.0
A403,Other streptococcal sepsis,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
A408,"Streptococcal sepsis, unspecified",4.0,1.0,1.0,2.0,0.0,0,1.0,3.0,0.25,1.0,0.0,0.0
A409,Sepsis due to Staphylococcus aureus,11.0,3.0,0.0,6.0,2.0,0,2.0,9.0,0.18181818181818182,2.7,0.0,0.0
A410,Sepsis due to unspecified staphylococcus,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A412,Sepsis due to Haemophilus influenzae,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
A413,Sepsis due to other Gram-negative organisms,28.0,6.0,0.0,20.0,2.0,0,2.0,26.0,0.07142857142857142,3.7,0.0,0.0
A415,Other specified sepsis,15.0,0.0,0.0,14.0,1.0,0,1.0,14.0,0.06666666666666667,0.0,0.0,0.0
A418,"Sepsis, unspecified",371.0,68.0,6.0,276.0,21.0,0,27.0,344.0,0.07277628032345014,4.0,0.0,0.0
A419,Abdominal actinomycosis,11.0,3.0,0.0,5.0,3.0,0,3.0,8.0,0.2727272727272727,2.7,0.0,0.0
A421,Other forms of actinomycosis,8.0,3.0,0.0,5.0,0.0,0,0.0,8.0,0.0,1.7,0.0,0.0
A428,"Actinomycosis, unspecified",24.0,4.0,0.0,16.0,4.0,0,4.0,20.0,0.16666666666666666,5.0,0.0,0.0
A429,Pulmonary nocardiosis,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A430,Other forms of bartonellosis,1.0,0.0,0.0,0.0,1.0,0,1.0,0.0,1.0,0.0,0.0,0.0
A448,"Bartonellosis, unspecified",4.0,2.0,0.0,2.0,0.0,0,0.0,4.0,0.0,1.0,0.0,0.0
A449,Erysipelas,4.0,2.0,0.0,2.0,0.0,0,0.0,4.0,0.0,1.0,0.0,0.0
A46X,Gas gangrene,1.0,0.0,0.0,1.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A480,Legionnaires disease,3.0,1.0,1.0,0.0,1.0,0,2.0,1.0,0.6666666666666666,0.5,0.0,0.0
A481,Toxic shock syndrome,13.0,1.0,0.0,11.0,1.0,0,1.0,12.0,0.07692307692307693,12.0,0.0,0.0
A483,Other specified bacterial diseases,5.0,3.0,0.0,1.0,1.0,0,1.0,4.0,0.2,0.7,0.0,0.0
A488,"Staphylococcal infection, unspecified site",159.0,40.0,7.0,55.0,57.0,0,64.0,95.0,0.4025157232704403,2.4,0.0,0.0
A490,"Streptococcal and enterococcal infection, unspecified site",79.0,20.0,2.0,37.0,20.0,0,22.0,57.0,0.27848101265822783,2.6,0.0,0.0
A491,"Haemophilus influenzae infection, unspecified site",19.0,5.0,2.0,7.0,5.0,0,7.0,12.0,0.3684210526315789,1.7,0.0,0.0
A492,"Mycoplasma infection, unspecified site",12.0,3.0,1.0,7.0,1.0,0,2.0,10.0,0.16666666666666666,2.0,0.0,0.0
A493,Other bacterial infections of unspecified site,136.0,32.0,13.0,50.0,41.0,0,54.0,82.0,0.39705882352941174,2.0,0.0,0.0
A498,"Bacterial infection, unspecified",477.0,70.0,10.0,374.0,23.0,0,33.0,444.0,0.06918238993710692,5.0,0.0,0.5333786724700762
A499,Late congenital syphilitic oculopathy,1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A503,"Other late congenital syphilis, symptomatic",1.0,1.0,0.0,0.0,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0
A505,"Congenital syphilis, unspecified",2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
A509,Secondary syphilis of skin and mucous membranes,9.0,3.0,0.0,5.0,1.0,0,1.0,8.0,0.1111111111111111,2.0,0.0,0.0
A513,Other secondary syphilis,20.0,4.0,0.0,15.0,1.0,0,1.0,19.0,0.05,4.0,0.0,0.0
A514,Symptomatic neurosyphilis,2.0,1.0,0.0,1.0,0.0,0,0.0,2.0,0.0,1.0,0.0,0.0
